absolute_pdt,absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-17 19:59:50,2025-06-18 02:59:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 20:53:50,2025-06-18 03:53:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 20:54:00,2025-06-18 03:54:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 20:59:20,2025-06-18 03:59:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 21:34:40,2025-06-18 04:34:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 22:34:10,2025-06-18 05:34:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 23:09:30,2025-06-18 06:09:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 00:09:00,2025-06-18 07:09:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 00:44:20,2025-06-18 07:44:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 01:43:50,2025-06-18 08:43:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 02:19:10,2025-06-18 09:19:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 03:18:40,2025-06-18 10:18:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 03:54:00,2025-06-18 10:54:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 04:53:30,2025-06-18 11:53:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 05:28:50,2025-06-18 12:28:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 06:11:20,2025-06-18 13:11:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 06:14:50,2025-06-18 13:14:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 06:28:20,2025-06-18 13:28:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 07:03:40,2025-06-18 14:03:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 07:44:30,2025-06-18 14:44:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 07:52:00,2025-06-18 14:52:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 07:52:10,2025-06-18 14:52:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 07:52:20,2025-06-18 14:52:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 08:03:10,2025-06-18 15:03:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 08:38:30,2025-06-18 15:38:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 09:16:00,2025-06-18 16:16:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 09:28:50,2025-06-18 16:28:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 09:38:00,2025-06-18 16:38:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 10:13:20,2025-06-18 17:13:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 10:50:30,2025-06-18 17:50:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 11:03:20,2025-06-18 18:03:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 11:12:50,2025-06-18 18:12:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 11:48:10,2025-06-18 18:48:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 12:27:30,2025-06-18 19:27:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 12:27:50,2025-06-18 19:27:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 12:28:00,2025-06-18 19:28:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-18 12:33:50,2025-06-18 19:33:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 12:47:40,2025-06-18 19:47:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 13:23:00,2025-06-18 20:23:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 14:22:30,2025-06-18 21:22:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 14:57:50,2025-06-18 21:57:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 15:57:20,2025-06-18 22:57:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 16:32:40,2025-06-18 23:32:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 17:32:10,2025-06-19 00:32:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 18:07:40,2025-06-19 01:07:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 19:07:00,2025-06-19 02:07:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 19:42:30,2025-06-19 02:42:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 20:42:00,2025-06-19 03:42:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 21:17:20,2025-06-19 04:17:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 22:16:50,2025-06-19 05:16:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 22:52:10,2025-06-19 05:52:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 23:51:40,2025-06-19 06:51:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 00:27:00,2025-06-19 07:27:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 01:26:30,2025-06-19 08:26:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 02:01:50,2025-06-19 09:01:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 03:01:20,2025-06-19 10:01:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 03:36:40,2025-06-19 10:36:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 04:36:10,2025-06-19 11:36:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 05:11:30,2025-06-19 12:11:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 05:54:10,2025-06-19 12:54:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-19 05:57:10,2025-06-19 12:57:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 06:11:00,2025-06-19 13:11:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 06:46:20,2025-06-19 13:46:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 07:27:40,2025-06-19 14:27:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-19 07:34:10,2025-06-19 14:34:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 07:45:50,2025-06-19 14:45:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 08:21:10,2025-06-19 15:21:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 08:59:20,2025-06-19 15:59:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-19 09:11:10,2025-06-19 16:11:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 09:20:40,2025-06-19 16:20:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 09:56:00,2025-06-19 16:56:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 10:33:10,2025-06-19 17:33:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-19 10:46:10,2025-06-19 17:46:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 10:55:30,2025-06-19 17:55:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 11:30:50,2025-06-19 18:30:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 12:09:50,2025-06-19 19:09:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-19 12:17:40,2025-06-19 19:17:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 12:30:20,2025-06-19 19:30:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-19 13:05:40,2025-06-19 20:05:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-19 14:05:10,2025-06-19 21:05:10,True,0,PAYLOAD,IDLE,SCIENCE
