absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-17 13:38:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 14:13:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 14:54:30+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 15:02:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 15:02:10+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 15:02:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 15:13:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 15:48:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 16:26:00+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 16:38:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 16:48:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 17:23:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 18:00:30+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 18:13:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 18:22:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 18:58:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 19:37:30+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 19:37:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 19:38:00+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 19:43:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 19:57:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 20:33:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 21:32:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 22:07:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 23:07:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 23:42:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 00:42:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 01:17:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 02:17:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 02:52:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 03:52:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 04:27:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 05:26:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-18 06:02:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-18 07:01:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
